us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,dt,
16348045,3038.6,2686.6,1.131,1088,0.133,-0.422,,-0.0001535509,-0.0003614843,,,,,,,,,,
16379305,3033.8,2675.3,1.134,1089.8,0.095,-1.206,,-0.0001890359,-0.0002979719,,,,,,-0.0005150352,,5709.1,0.03126,31.9897632758
16410516,3027.9,2666,1.1357,1090.3,0.055,-1.285,,-0.0002017356,-0.00025297,,,,,,-0.0004870078,8.965899879E-010,5693.9,0.031211,32.0399859024
16441745,3021.6,2658.1,1.1368,1089.1,0.032,-0.729,,-0.0001602256,-0.0002082933,,,,,,-0.0004547056,0.000000001,5679.7,0.031229,32.0215184604
16472951,3016.6,2651.6,1.1376,1086.8,0.029,-0.123,,-8.000512033E-005,-0.0001312084,,,,,,-0.0003685189,2.759828607E-009,5668.2,0.031206,32.0451195283
16504199,3014.1,2647.5,1.1385,1084.4,0.026,-0.078,,0,-0.000009616,,,,,,-0.0002112135,0.000000005,5661.6,0.031248,32.0020481311
16535397,3014.1,2647.2,1.1386,1083.4,0.004,-0.708,,3.524285531E-005,0.0001377675,,,,,,-0.000009616,6.451533431E-009,5661.3,0.031198,32.0533367524
16566609,3015.2,2651.5,1.1372,1084.2,-0.045,-1.579,,1.28102482E-005,0.0002594075,,,,,,0.0001730104,5.853784911E-009,5666.7,0.031212,32.0389593746
16597834,3015.6,2659.6,1.1339,1086.6,-0.106,-1.956,,-3.19918101E-005,0.0003231173,,,,,,0.0002722178,3.178501653E-009,5675.2,0.031225,32.0256204964
16629092,3014.6,2669.7,1.1292,1089.3,-0.149,-1.358,,-4.807846405E-005,0.0003044969,,,,,,0.0002911255,6.055307497E-010,5684.3,0.031258,31.9918100966
16660291,3013.1,2679.2,1.1246,1090.9,-0.147,0.048,,0,0.0002273819,,,,,,0.0002564185,-1.110339655E-009,5692.3,0.031199,32.0523093689
16691516,3013.1,2686.3,1.1217,1090.9,-0.095,1.684,,0.000115392,0.000125008,,,,,,0.0002273819,-9.306891063E-010,5699.4,0.031225,32.0256204964
16722714,3016.7,2690.2,1.1214,1089.3,-0.009,2.761,,0.0002529943,3.842951387E-005,,,,,,0.0002404,4.169133745E-010,5706.9,0.031198,32.0533367524
16753940,3024.6,2691.4,1.1238,1087.5,0.078,2.76,,0.0003486996,-3.199078665E-006,,,,,,0.0002914238,1.635482654E-009,5716,0.031226,32.0245948889
