us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR
16348045,3038.6,2686.6,1.131,1088,0.133,-0.422,,-0.0001535508637,-0.000361484325,,,,,,,,
16379305,3033.8,2675.3,1.134,1089.8,0.095,-1.206,,-0.0001890359168,-0.0002979718689,,,,,,-0.0005150351887,,5709.1
16410516,3027.9,2666,1.1357,1090.3,0.055,-1.285,,-0.0002017355663,-0.0002529699958,,,,,,-0.0004870077857,0.0000000008965899879,5693.9
16441745,3021.6,2658.1,1.1368,1089.1,0.032,-0.729,,-0.0001602255976,-0.0002082932769,,,,,,-0.0004547055621,0.000000001034962788,5679.7
16472951,3016.6,2651.6,1.1376,1086.8,0.029,-0.123,,-0.00008000512033,-0.0001312083973,,,,,,-0.0003685188746,0.000000002759828607,5668.2
16504199,3014.1,2647.5,1.1385,1084.4,0.026,-0.078,,0,-0.000009616001026,,,,,,-0.0002112135177,0.000000005040868965,5661.6
16535397,3014.1,2647.2,1.1386,1083.4,0.004,-0.708,,0.00003524285531,0.0001377675253,,,,,,-0.000009616001026,0.000000006451533431,5661.3
16566609,3015.2,2651.5,1.1372,1084.2,-0.045,-1.579,,0.0000128102482,0.000259407526,,,,,,0.0001730103806,0.000000005853784911,5666.7
16597834,3015.6,2659.6,1.1339,1086.6,-0.106,-1.956,,-0.0000319918101,0.000323117282,,,,,,0.0002722177742,0.000000003178501653,5675.2
16629092,3014.6,2669.7,1.1292,1089.3,-0.149,-1.358,,-0.00004807846405,0.000304496939,,,,,,0.0002911254719,0.0000000006055307497,5684.3
16660291,3013.1,2679.2,1.1246,1090.9,-0.147,0.048,,0,0.0002273819055,,,,,,0.000256418475,-0.000000001110339655,5692.3
16691516,3013.1,2686.3,1.1217,1090.9,-0.095,1.684,,0.0001153920123,0.0001250080133,,,,,,0.0002273819055,-0.0000000009306891063,5699.4
16722714,3016.7,2690.2,1.1214,1089.3,-0.009,2.761,,0.0002529942996,0.00003842951387,,,,,,0.0002404000256,0.0000000004169133745,5706.9
16753940,3024.6,2691.4,1.1238,1087.5,0.078,2.76,,0.0003486995745,-0.000003199078665,,,,,,0.0002914238135,0.000000001635482654,5716
16785199,3035.5,2691.3,1.1279,1086.5,0.131,1.704,,0.0003556438435,-0.00001601999295,,,,,,0.0003455004959,0.000000001731783846,5726.8
16816410,3046.6,2690.8,1.1322,1087.2,0.138,0.239,,0.000284781774,-0.000003199795213,,,,,,0.0003396238506,-0.0000000001879985058,5737.4
16847662,3055.5,2690.7,1.1356,1089.1,0.108,-0.965,,0.0001697357886,0.000006405124099,,,,,,0.0002815819788,-0.000000001859660755,5746.2
16878887,3060.8,2690.9,1.1375,1091,0.06,-1.561,,0.00005456062648,0.00002888503755,,,,,,0.0001761409127,-0.000000003373898183,5751.7
16910045,3062.5,2691.8,1.1377,1091.7,0.008,-1.658,,-0.00002560491614,0.00006081167584,,,,,,0.00008344566403,-0.000000002968622857,5754.3
16941289,3061.7,2693.7,1.1366,1090.5,-0.035,-1.379,,-0.00005446274108,0.0000993144102,,,,,,0.0000352067597,-0.000000001548202848,5755.4
16972503,3060,2696.8,1.1347,1087.9,-0.062,-0.858,,-0.0000256204964,0.0001473178543,,,,,,0.00004485166912,0.0000000003086963713,5756.8
17003728,3059.2,2701.4,1.1324,1085.3,-0.072,-0.328,,0.00002877973906,0.000207853671,,,,,,0.0001216973579,0.000000002461898147,5760.6
17035000,3060.1,2707.9,1.1301,1084.1,-0.075,-0.089,,0.00008337341671,0.0002661535995,,,,,,0.0002366334101,0.000000003680898389,5768
17066185,3062.7,2716.2,1.1276,1084.8,-0.081,-0.185,,0.0001056845476,0.0003106485188,,,,,,0.0003495270162,0.000000003610053918,5778.9
17097410,3066,2725.9,1.1248,1087.1,-0.088,-0.244,,0.0001057285659,0.0003011662181,,,,,,0.0004163330665,0.000000002142249487,5791.9
17128622,3069.3,2735.3,1.1221,1089.6,-0.086,0.077,,0.00007687626125,0.0002178160735,,,,,,0.0004068947841,-0.0000000003022668501,5804.6
17159841,3071.7,2742.1,1.1202,1090.8,-0.061,0.808,,0.00004166132547,0.00007050378157,,,,,,0.0002946923348,-0.000000003594849714,5813.8
17191045,3073,2744.3,1.1198,1090.1,-0.013,1.537,,-0.000006400819305,-0.0001152147475,,,,,,0.000112165107,-0.000000005846671186,5817.3
17222291,3072.8,2740.7,1.1212,1088.2,0.044,1.817,,-0.00005764611689,-0.0002754203363,,,,,,-0.0001216155668,-0.000000007492009801,5813.5
17253516,3071,2732.1,1.124,1086.5,0.092,1.54,,-0.00009599385639,-0.0003775758351,,,,,,-0.0003330664532,-0.000000006767294578,5803.1
17284768,3068,2720.3,1.1278,1086.4,0.121,0.923,,-0.0001185479478,-0.0004165198167,,,,,,-0.0004735696915,-0.000000004499703391,5788.3
17315979,3064.3,2707.3,1.1319,1088.5,0.13,0.296,,-0.0001313849901,-0.00041017753,,,,,,-0.0005350677646,-0.000000001967812397,5771.6
17347185,3060.2,2694.5,1.1357,1091.9,0.124,-0.208,,-0.0001505204163,-0.000384307446,,,,,,-0.00054156252,-0.0000000002080918733,5754.7
17378410,3055.5,2682.5,1.139,1094.7,0.106,-0.578,,-0.0001663893511,-0.0003295789069,,,,,,-0.0005348278623,0.0000000002158129122,5738
17409662,3050.3,2672.2,1.1415,1095.4,0.079,-0.847,,-0.0001602050625,-0.0002563281,,,,,,-0.000495968258,0.000000001244502939,5722.5
17440872,3045.3,2664.2,1.143,1093.5,0.049,-0.957,,-0.0001182499015,-0.0001546344865,,,,,,-0.0004165331624,0.000000002541760386,5709.5
17473853,3041.4,2659.1,1.1438,1090,0.023,-0.796,,-0.00005772103762,-0.00008488387885,,,,,,-0.000272884388,0.000000004602652178,5700.5
17503305,3039.7,2656.6,1.1442,1086.7,0.014,-0.306,,0.00001281599436,-0.0000320399859,,,,,,-0.0001426049165,0.000000003950137094,5696.3
17534516,3040.1,2655.6,1.1448,1085.5,0.018,0.138,,0.00007356468895,-0.000006396929474,,,,,,-0.00001922399154,0.000000004189220594,5695.7
17565781,3042.4,2655.4,1.1457,1086.8,0.031,0.405,,0.00009611687812,0,,,,,,0.00006716775948,0.000000002767990485,5697.8
17596993,3045.4,2655.4,1.1469,1089.7,0.036,0.158,,0.00007694280585,0.00001923570146,,,,,,0.00009611687812,0.0000000009259273516,5700.8
17628185,3047.8,2656,1.1475,1092.3,0.021,-0.474,,0.0000128102482,0.00004163330665,,,,,,0.00009617850731,0,5703.8
17659410,3048.2,2657.3,1.1471,1093,-0.014,-1.118,,-0.00008650519031,0.00006407791875,,,,,,0.00005444355484,-0.00000000133800181,5705.5
17690622,3045.5,2659.3,1.1452,1091.4,-0.059,-1.443,,-0.0001631217016,0.0000863585479,,,,,,-0.00002242727156,-0.000000002461835914,5704.8
17721887,3040.4,2662,1.1422,1088.6,-0.099,-1.276,,-0.0001797233544,0.0001187457877,,,,,,-0.00007676315369,-0.00000000174086512,5702.4
17753046,3034.8,2665.7,1.1385,1086.3,-0.118,-0.63,,-0.0001152258106,0.0001472329802,,,,,,-0.00006097756667,0.0000000005048964341,5700.5
17784289,3031.2,2670.3,1.1352,1086.2,-0.106,0.404,,0.000009607070804,0.0001569154898,,,,,,0.00003200716961,0.000000002984201556,5701.5
17815516,3031.5,2675.2,1.1332,1088.3,-0.063,1.37,,0.0001407324484,0.000134335519,,,,,,0.0001665225606,0.000000004305456934,5706.7
17846781,3035.9,2679.4,1.133,1091.6,-0.004,1.875,,0.0002402921953,0.00010252467,,,,,,0.0002750679674,0.000000003476011361,5715.3
17877993,3043.4,2682.6,1.1345,1094.1,0.047,1.645,,0.0002819970518,0.00008331731077,,,,,,0.0003428168653,0.00000000216692461,5726
17909199,3052.2,2685.2,1.1367,1094.4,0.07,0.741,,0.0002723137054,0.0001025181009,,,,,,0.0003653143626,0.0000000007207964025,5737.4
17940413,3060.7,2688.4,1.1385,1092.6,0.057,-0.406,,0.0002242942741,0.0001538017879,,,,,,0.0003748318062,0.0000000003049876184,5749.1
17971622,3067.7,2693.2,1.1391,1089.9,0.018,-1.256,,0.0001727170958,0.0002206940668,,,,,,0.000378096062,0.0000000001045766577,5760.9
18002887,3073.1,2700.1,1.1381,1087.9,-0.029,-1.517,,0.0001155401502,0.0002663842352,,,,,,0.0003934111626,0.0000000004907270534,5773.2
18034045,3076.7,2708.4,1.136,1087.8,-0.069,-1.268,,0.00008317338452,0.0002879078695,,,,,,0.0003819243854,-0.0000000003674005198,5785.1
18065305,3079.3,2717.4,1.1332,1089.6,-0.09,-0.682,,0.00007048796899,0.0002819518759,,,,,,0.000371081254,-0.0000000003480047305,5796.7
18096516,3081.5,2726.2,1.1304,1092,-0.09,-0.002,,0.0000959969281,0.0002527919107,,,,,,0.0003524398449,-0.0000000005963342633,5807.7
18127767,3084.5,2734.1,1.1282,1093.5,-0.07,0.661,,0.0001312882257,0.0002017355663,,,,,,0.0003487888388,-0.0000000001169781862,5818.6
