us,Red,IR,Ratio,Ambient,drdt,ddrdt,R+IR,dRed/dt (~7sec),dIR/dt,dRed/dIR,dRed*dIR/dt,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,,Notes
303943244,4.2,4.2,0.9892,8,-7.803,-81.86,8.4,,,,,,,,,,,,
303974443,-10.2,-10,1.0224,4.6,1.064,284.228,-20.2,-0.0004615532549,-0.000455142793,0.9861111111,0.00655405622,0.0000002100726376,,-0.003834738293,-0.000916696048,,-20.2,,just looking for the best way to combine the data to look for the cleanest peaks
304005694,-22.9,-26.6,0.8613,0.8,-5.154,-198.987,-49.5,-0.0004063869956,-0.0005311830021,1.307086614,0.006746024127,0.0000002158658644,0.00000000176820601,-0.01622796071,-0.0009375699978,-0.0000000006690582971,-49.5,,
304036919,-33.1,-43.4,0.7628,-1.6,-3.156,63.992,-76.5,-0.0003266613291,-0.0005380304243,1.647058824,0.005487910328,0.0000001757537335,0.000000002551139693,-0.0264979984,-0.0008646917534,0.000000002332029195,-76.5,,
304068116,-41.4,-58.2,0.7112,-1.5,-1.653,48.169,-99.6,-0.0002660512229,-0.0004744045902,1.78313253,0.003937558099,0.0000001262159214,0.000000001941076259,-0.03118697311,-0.0007404558131,0.000000003978733077,-99.6,,
304099350,-48.8,-69.6,0.7009,0.4,-0.328,42.422,-118.4,-0.0002369213037,-0.0003649868733,1.540540541,0.002700902862,0.00000008647316585,0.0000000009337410381,-0.03160017929,-0.000601908177,0.000000004441056386,-118.4,,
304130548,-56,-77.3,0.7239,2.3,0.735,34.094,-133.3,-0.0002307840246,-0.000246810693,1.069444444,0.00177703699,0.00000005695996505,0.0000000001964935356,-0.02988396692,-0.0004775947176,0.000000003980068495,-133.3,,
304161781,-63,-81.8,0.7703,2.5,1.487,24.047,-144.8,-0.0002241219223,-0.0001440783786,0.6428571429,0.00100854865,0.00000003229112319,0.0000000002135426082,-0.02640156245,-0.000368200301,0.000000003506456076,-144.8,,
304193025,-69.5,-83.6,0.8309,0.7,1.94,14.51,-153.1,-0.0002080399437,-0.00005761106132,0.2769230769,0.0003744718986,0.00000001198540195,0.0000000005149034245,-0.02102163615,-0.000265651005,0.000000003283363621,-153.1,,
304224231,-74.6,-83,0.8981,-2.5,2.153,6.837,-157.6,-0.0001634301096,0.00001922707172,-0.1176470588,-0.00009805806576,-0.000000003142282438,0.000000001427788826,-0.01222841761,-0.0001442030379,0.000000003887081267,-157.6,,
304255456,-77.9,-80.8,0.9643,-5.3,2.119,-1.103,-158.7,-0.0001056845476,0.00007045636509,-0.6666666667,-0.0002325060048,-0.000000007446149073,0.000000001850463435,-0.003283266613,-0.00003522818255,0.000000003492112265,-158.7,,
304286668,-79.3,-77.9,1.0182,-6.1,1.728,-12.519,-157.2,-0.00004485454312,0.00009291298219,-2.071428571,-0.0001300781751,-0.000000004167569366,0.000000001948118639,0.003743752403,0.00004805843906,0.000000002667305736,-157.2,,
304317919,-78.2,-74.8,1.0446,-4.7,0.843,-28.316,-153,0.00003519887364,0.0000991968257,2.818181818,0.0001091165083,0.000000003491616533,0.000000002564828167,0.01049918403,0.0001343956993,0.000000002766155974,-153,,
304349138,-73.8,-71.8,1.0286,-1.8,-0.512,-43.416,-145.6,0.0001409398123,0.00009609532656,0.6818181818,0.0004228194369,0.00000001354365729,0.000000003383601762,0.01763413306,0.0002370351389,0.000000003284356965,-145.6,,
304380337,-66,-68.5,0.9629,0.9,-2.105,-51.036,-134.5,0.0002500080131,0.0001057726209,0.4230769231,0.0008250264432,0.00000002644400279,0.000000003493648124,0.02493156832,0.000355780634,0.000000003803629044,-134.5,,
304411548,-55.3,-64.8,0.8528,1.8,-3.529,-45.629,-120.1,0.0003428278492,0.0001185479478,0.3457943925,0.001268463042,0.00000004064153798,0.000000002975090102,0.03003940918,0.000461375797,0.000000003384568832,-120.1,,
